Time,solar_irradiance,temp,hour_sun
20230125:2010,0,0,-0.12
20230125:2110,0,0,-0.39
20230125:2210,0,0,-0.58
20230125:2310,0,0,-0.87
20230126:0010,0,0,-0.65
20230126:0110,0,0,-0.73
20230126:0210,0,0,-0.84
20230126:0310,0,0,-0.87
20230126:0410,0,0,-0.9
20230126:0510,0,0,-0.96
20230126:0610,0,0,-1.01
20230126:0710,0,0,-1.39
20230126:0810,19.27,7.59,-1.31
20230126:0910,41.44,13.98,-1.09
20230126:1010,32.35,18.53,-0.89
20230126:1110,51.95,20.82,-0.5
20230126:1210,42.15,20.62,0.1
20230126:1310,64.7,17.95,0.48
20230126:1410,90.58,13.07,0.74
20230126:1510,26.02,6.43,0.79
20230126:1610,0,0,0.29
20230126:1710,0,0,-0.01
20230126:1810,0,0,-0.44
20230126:1910,0,0,-1.05
20230126:2010,0,0,-1.45
20230126:2110,0,0,-1.26
20230126:2210,0,0,-1.41
20230126:2310,0,0,-1.19
20230127:0010,0,0,-0.87
20230127:0110,0,0,-0.66
20230127:0210,0,0,-0.69
20230127:0310,0,0,-0.62
20230127:0410,0,0,-0.58
20230127:0510,0,0,-0.44
20230127:0610,0,0,-0.54
20230127:0710,0,0,-0.09
20230127:0810,33.73,7.78,0.18
20230127:0910,102.14,14.19,0.7
20230127:1010,133.66,18.76,1.41
20230127:1110,162.57,21.07,1.93
20230127:1210,160.77,20.88,2.25
20230127:1310,85.28,18.21,2.73
20230127:1410,94.43,13.33,2.83
20230127:1510,40.47,6.68,2.79
20230127:1610,0,0,2.36
20230127:1710,0,0,2.15
20230127:1810,0,0,1.79
20230127:1910,0,0,1.5
20230127:2010,0,0,1.07
20230127:2110,0,0,0.88
20230127:2210,0,0,0.92
20230127:2310,0,0,1.03
20230128:0010,0,0,1.01
20230128:0110,0,0,0.74
20230128:0210,0,0,0.52
20230128:0310,0,0,0.05
20230128:0410,0,0,-0.19
20230128:0510,0,0,-0.24
20230128:0610,0,0,-0.3
20230128:0710,0,0,-0.14
20230128:0810,38.54,7.98,-0.13
20230128:0910,59.74,14.41,0.68
20230128:1010,58.81,19,1.33
20230128:1110,69.6,21.33,1.85
20230128:1210,83.32,21.15,2.07
20230128:1310,81.36,18.47,2.11
20230128:1410,67.45,13.59,1.89
20230128:1510,43.36,6.93,1.53
20230128:1610,0,0,0.66
20230128:1710,0,0,-0.19
20230128:1810,0,0,-1.45
20230128:1910,0,0,-2.14
20230128:2010,0,0,-2.71
20230128:2110,0,0,-2.96
20230128:2210,0,0,-2.13
20230128:2310,0,0,-1.53
20230129:0010,0,0,-1.58
20230129:0110,0,0,-1.88
20230129:0210,0,0,-2.08
20230129:0310,0,0,-2.25
20230129:0410,0,0,-2.39
20230129:0510,0,0,-2.43
20230129:0610,0,0,-2.51
20230129:0710,0,0,-2.53
20230129:0810,26.02,8.19,-2.52
20230129:0910,101.65,14.64,-1.87
20230129:1010,145.28,19.25,-1.08
20230129:1110,168.05,21.59,-0.71
20230129:1210,169.05,21.42,-0.38
20230129:1310,81.76,18.74,0.01
20230129:1410,54.93,13.85,0.17
20230129:1510,35.65,7.18,0.08
20230129:1610,0,0,-0.8
20230129:1710,0,0,-1.69
20230129:1810,0,0,-2.1
20230129:1910,0,0,-2.27
20230129:2010,0,0,-2.34
20230129:2110,0,0,-2.07
20230129:2210,0,0,-2.07
20230129:2310,0,0,-1.77
20230130:0010,0,0,-1.68
20230130:0110,0,0,-1.01
20230130:0210,0,0,-0.63
20230130:0310,0,0,-0.19
20230130:0410,0,0,0.31
20230130:0510,0,0,0.75
20230130:0610,0,0,1.19
20230130:0710,0,0,0.91
20230130:0810,53.96,8.4,1.4
20230130:0910,59.8,14.87,1.95
20230130:1010,47.05,19.5,2.73
20230130:1110,168.89,21.86,3.32
20230130:1210,41.17,21.69,3.79
20230130:1310,49.01,19.01,4.47
20230130:1410,97.32,14.12,4.89
20230130:1510,44.33,7.44,4.39
20230130:1610,0,0,3.99
20230130:1710,0,0,3.57
20230130:1810,0,0,3.27
20230130:1910,0,0,2.58
20230130:2010,0,0,2.19
20230130:2110,0,0,1.71
20230130:2210,0,0,1.42
20230130:2310,0,0,1.79
20230131:0010,0,0,1.7
20230131:0110,0,0,1.69
20230131:0210,0,0,1.4
20230131:0310,0,0,1.31
20230131:0410,0,0,1.29
20230131:0510,0,0,1
20230131:0610,0,0,0.5
20230131:0710,0,0,0.28
20230131:0810,58.78,8.61,0.48
20230131:0910,109.09,15.11,1.63
20230131:1010,79.4,19.76,2.6
20230131:1110,32.35,22.13,3.14
20230131:1210,71.56,21.97,2.94
20230131:1310,51.95,19.29,2.87
20230131:1410,106,14.39,3.21
20230131:1510,26.02,7.7,3.53
20230131:1610,0,0,3.48
20230131:1710,0,0,3.58
20230131:1810,0,0,3.66
20230131:1910,0,0,3.62
20230131:2010,0,0,3.79
20230131:2110,0,0,3.93
20230131:2210,0,0,4
20230131:2310,0,0,4.16
20230201:0010,0,0,4.09
20230201:0110,0,0,4
20230201:0210,0,0,3.76
20230201:0310,0,0,3.56
20230201:0410,0,0,3.34
20230201:0510,0,0,3.56
20230201:0610,0,0,3.74
20230201:0710,0,0,3.14
20230201:0810,26.02,8.84,3.42
20230201:0910,30.39,15.35,4.02
20230201:1010,46.07,20.02,4.51
20230201:1110,41.17,22.41,4.8
20230201:1210,36.27,22.26,5.53
20230201:1310,99.99,19.57,5.85
20230201:1410,61.76,14.66,5.98
20230201:1510,8.67,7.96,5.85
20230201:1610,0,0,5.43
20230201:1710,0,0,5.55
20230201:1810,0,0,5.1
20230201:1910,0,0,4.7
20230201:2010,0,0,4.46
20230201:2110,0,0,4.28
20230201:2210,0,0,4.12
20230201:2310,0,0,3.96
20230202:0010,0,0,3.82
20230202:0110,0,0,3.66
20230202:0210,0,0,3.63
20230202:0310,0,0,3.74
20230202:0410,0,0,3.87
20230202:0510,0,0,4.27
20230202:0610,0,0,4.77
20230202:0710,0,0,4.9
20230202:0810,13.49,9.07,5
20230202:0910,36.27,15.6,5.37
20230202:1010,62.74,20.29,5.53
20230202:1110,132.43,22.69,5.64
20230202:1210,40.19,22.55,5.69
20230202:1310,36.27,19.86,5.75
20230202:1410,33.33,14.94,5.82
20230202:1510,8.67,8.22,5.88
20230202:1610,0,0,5.87
20230202:1710,0,0,5.85
20230202:1810,0,0,5.78
20230202:1910,0,0,6.01
20230202:2010,0,0,6.02
20230202:2110,0,0,5.99
20230202:2210,0,0,5.99
20230202:2310,0,0,6.06
20230203:0010,0,0,6.07
20230203:0110,0,0,6.07
20230203:0210,0,0,6.03
20230203:0310,0,0,6
20230203:0410,0,0,6.03
20230203:0510,0,0,6.16
20230203:0610,0,0,6.24
20230203:0710,0,0,6.15
20230203:0810,50.11,9.3,6.2
20230203:0910,46.07,15.86,6.19
20230203:1010,68.62,20.56,6.44
20230203:1110,113.71,22.98,6.56
20230203:1210,52.93,22.84,6.72
20230203:1310,61.76,20.15,7.04
20230203:1410,83.17,15.22,7.24
20230203:1510,31.8,8.49,7.4
20230203:1610,0,0,7.49
20230203:1710,0,0,7.53
20230203:1810,0,0,7.53
20230203:1910,0,0,7.18
20230203:2010,0,0,6.88
20230203:2110,0,0,6.47
20230203:2210,0,0,5.88
20230203:2310,0,0,5.43
20230204:0010,0,0,5.19
20230204:0110,0,0,4.91
20230204:0210,0,0,4.8
20230204:0310,0,0,4.53
20230204:0410,0,0,4.4
20230204:0510,0,0,4.13
20230204:0610,0,0,4.14
20230204:0710,1.93,1.61,3.86
20230204:0810,41.44,9.54,4.1
20230204:0910,112.9,16.12,4.56
20230204:1010,153.87,20.84,4.88
20230204:1110,183.73,23.28,5.17
20230204:1210,169.96,23.14,5.17
20230204:1310,85.28,20.45,5.27
20230204:1410,49.1,15.5,5.27
20230204:1510,39.51,8.76,5.02
20230204:1610,0,0,4.59
20230204:1710,0,0,3.65
20230204:1810,0,0,2.6
20230204:1910,0,0,1.45
20230204:2010,0,0,1.37
20230204:2110,0,0,1.46
20230204:2210,0,0,1.53
20230204:2310,0,0,1.63
20230205:0010,0,0,1.52
